artikelcode,merk,omschrijving
1046853,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø250 Wit
1046839,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø250 Zwart
1051635,Pragmalux,Pragmalux LED Downlight Essence G2 opbouwframe IP54 PC Ø150x80(H) Wit
1051642,Pragmalux,Pragmalux LED Downlight Essence G2 opbouwframe IP54 PC Ø150x80(H) Zwart
1051659,Pragmalux,Pragmalux LED Downlight Essence G2 opbouwframe IP54 PC Ø200x80(H) Wit
1051666,Pragmalux,Pragmalux LED Downlight Essence G2 opbouwframe IP54 PC Ø200x80(H) Zwart
1047492,Pragmalux,Pragmalux LED Downlight Essence G2 PIR IP54 wit 6/9W 3000K-6000K 3-CCT 700-1125lm 100D Ø190 Buitenmaat - Gatmaat Ø150 incl. LED Driver
Z1047492,Pragmalux,Pragmalux LED Downlight Essence G2 PIR IP54 zwart 6/9W 3000K-6000K 3-CCT 700/1125lm 100D Ø190 Buitenmaat - Gatmaat Ø150 incl. LED Driver
1047478,Pragmalux,Pragmalux LED Downlight Essence G2 PIR IP54 zwart frame Ø190 Buitenmaat
1047065,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø110 Wit
1047140,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø110 Zwart
1047072,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø146 Wit
1047157,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø146 Zwart
1047089,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø176 Wit
1047164,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø176 Zwart
1047096,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø226 Wit
1047171,Pragmalux,Pragmalux LED Downlight Essence G2 verdiepte frame PC Ø226 Zwart
1046686,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 Excl. LED Driver
1046693,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 Excl. LED Driver
1046662,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 6W 3000K-6000K 3-CCT max. 760lm 60D Ø110 Buitenmaat - Gatmaat Ø95 UGR<19 Excl. LED Driver
1046679,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 9W 3000K-6000K 3-CCT max. 1200lm 60D Ø146 Buitenmaat - Gatmaat Ø120 UGR<19 Excl. LED Driver
Z1046686,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 Excl. LED Driver
Z1046693,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 Excl. LED Driver
Z1046662,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 6W 3000K-6000K 3-CCT max. 760lm 60D Ø110 Buitenmaat - Gatmaat Ø95 UGR<19 Excl. LED Driver
Z1046679,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 9W 3000K-6000K 3-CCT max. 1200lm 60D Ø146 Buitenmaat - Gatmaat Ø120 UGR<19 Excl. LED Driver
1028682,Pragmalux,Pragmalux LED Downlight Fora IP65 component  DC kabel + DC connector + 2-CCT schakelaar 25cm
1028637,Pragmalux,Pragmalux LED Downlight Fora IP65 component wit frame schroeflock Ø150
1028668,Pragmalux,Pragmalux LED Downlight Fora IP65 component wit frame schroeflock Ø200
1027968,Pragmalux,Pragmalux LED Downlight Fora IP65 component wit frame standaard Ø150
1027982,Pragmalux,Pragmalux LED Downlight Fora IP65 component wit frame standaard Ø200
1028644,Pragmalux,Pragmalux LED Downlight Fora IP65 component zwart frame schroeflock Ø150
1028675,Pragmalux,Pragmalux LED Downlight Fora IP65 component zwart frame schroeflock Ø200
1028620,Pragmalux,Pragmalux LED Downlight Fora IP65 component zwart frame standaard Ø172
1028651,Pragmalux,Pragmalux LED Downlight Fora IP65 component zwart frame standaard Ø235
1007205,Pragmalux,Pragmalux LED Downlight Fora IP65 driver niet dimbaar 15W 350mA 30-40Vdc Ø125-150-200
1028750,Pragmalux,Pragmalux LED Downlight Fora IP65 driver niet dimbaar 25W 580mA 30-40Vdc Ø150-200
1028767,Pragmalux,Pragmalux LED Downlight Fora IP65 driver niet dimbaar 40W 1000mA 30-40Vdc Ø200
1028477-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Philips Driver
1028477-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028477-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Philips Driver(350mA)
1028477-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 13W 1300-1350lm 3000K-4000K 2-CCT wit +IP65 Driver
1028477,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 max. 25W 2750lm 3000K-4000K 2-CCT wit excl. driver
1028484-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028484-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Philips Driver(350mA)
Z1028484-PH30-700,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 20-26W 1850-2800lm 3000K-4000K 2-CCT zwart +Philips Driver(700mA)
1028484-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 23W 2300-2350lm 3000K-4000K 2-CCT wit +IP65 Driver
1028484-PR-UN40,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim)"
1028484,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 max. 30W 3500lm 3000K-4000K 2-CCT wit excl. driver
1028491-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028491-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Philips Driver(350mA)
Z1028491-PH30-700,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 20-26W 1850-2800lm 3000K-4000K 2-CCT zwart +Philips Driver (700mA)
1028491-PR-UN40,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim)"
1028491-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 38W 3800-3850lm 3000K-4000K 2-CCT wit +IP65 Driver
1028699,Pragmalux,Pragmalux LED Downlight Fora opvulring buitenmaat Ø190 gat Ø125 wit
1028729,Pragmalux,Pragmalux LED Downlight Fora opvulring buitenmaat Ø190 gat Ø125 zwart
